#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B0F45A
#Date Time: 2022-08-29 19:34:50.492
#Sample rate: 1e+08Hz
#Samples: 32768

Time (s);ADDR;VBLK;W3A09;NMI;IRQ;IMS;W3A0A;FIRQ;BLK
-0.00031253;h1BC6;1;1;0;1;0;1;1;0
-0.00031252;h1BC6;1;1;0;1;0;1;1;0
-0.00031251;h1BC6;1;1;0;1;0;1;1;0
-0.0003125;h1BC6;1;1;0;1;0;1;1;0
-0.00031249;h1BC6;1;1;0;1;0;1;1;0
-0.00031248;h1BC6;1;1;0;1;0;1;1;0
-0.00031247;h1BC6;1;1;0;1;0;1;1;0
-0.00031246;h1BC6;1;1;0;1;0;1;1;0
-0.00031245;h1BC6;1;1;0;1;0;1;1;0
-0.00031244;h1BC6;1;1;0;1;0;1;1;0
-0.00031243;h1BC6;1;1;0;1;0;1;1;0
-0.00031242;h1BC6;1;1;0;1;0;1;1;0
-0.00031241;h1BC6;1;1;0;1;0;1;1;0
-0.0003124;h1BC6;1;1;0;1;0;1;1;0
-0.00031239;h1BC6;1;1;0;1;0;1;1;0
-0.00031238;h1BC6;1;1;0;1;0;1;1;0
-0.00031237;h1BC6;1;1;0;1;0;1;1;0
-0.00031236;h1BC6;1;1;0;1;0;1;1;0
-0.00031235;h1BC6;1;1;0;1;0;1;1;0
-0.00031234;h1BC6;1;1;0;1;0;1;1;0
-0.00031233;h1BC6;1;1;0;1;0;1;1;0
-0.00031232;h1BC6;1;1;0;1;0;1;1;0
-0.00031231;h1BC6;1;1;0;1;0;1;1;0
-0.0003123;h1BC6;1;1;0;1;0;1;1;0
-0.00031229;h1BC6;1;1;0;1;0;1;1;0
-0.00031228;h1BC6;1;1;0;1;0;1;1;0
-0.00031227;h1BC6;1;1;0;1;0;1;1;0
-0.00031226;h1BC6;1;1;0;1;0;1;1;0
-0.00031225;h1BC6;1;1;0;1;0;1;1;0
-0.00031224;h1BC6;1;1;0;1;0;1;1;0
-0.00031223;hFEDB;1;1;0;1;0;1;1;0
-0.00031222;hFEDB;1;1;0;1;0;1;1;0
-0.00031221;hFEDB;1;1;0;1;0;1;1;0
-0.0003122;hFEDB;1;1;0;1;0;1;1;0
-0.00031219;hFEDB;1;1;0;1;0;1;1;0
-0.00031218;hFEDB;1;1;0;1;0;1;1;0
-0.00031217;hFEDB;1;1;0;1;0;1;1;0
-0.00031216;hFEDB;1;1;0;1;0;1;1;0
-0.00031215;hFEDB;1;1;0;1;0;1;1;0
-0.00031214;hFEDB;1;1;0;1;0;1;1;0
-0.00031213;hFEDB;1;1;0;1;0;1;1;0
-0.00031212;hFEDB;1;1;0;1;0;1;1;0
-0.00031211;hFEDB;1;1;0;1;0;1;1;0
-0.0003121;hFEDB;1;1;0;1;0;1;1;0
-0.00031209;hFEDB;1;1;0;1;0;1;1;0
-0.00031208;hFEDB;1;1;0;1;0;1;1;0
-0.00031207;hFEDB;1;1;0;1;0;1;1;0
-0.00031206;hFEDB;1;1;0;1;0;1;1;0
-0.00031205;hFEDB;1;1;0;1;0;1;1;0
-0.00031204;hFEDB;1;1;0;1;0;1;1;0
-0.00031203;hFEDB;1;1;0;1;0;1;1;0
-0.00031202;hFEDB;1;1;0;1;0;1;1;0
